Name;Code;Q;Start;Dataset;LastUpdateDate;LastUpdateCount;MULT
Balance of Payments, Financial Account, Other investment: liabilities, Debt instruments, US Dollars;BFOLDXF_BP6_USD;1;1980;BOP;;;
Balance of Payments, Net Errors and Omissions, US Dollars;BOPFR_BP6_USD;1;1980;BOP;;;
Balance of Payments, Reserves and Related Items, US Dollars;BTRUE_BP6_USD;1;1980;BOP;;;
International Investment Position, Assets, US Dollars;IAFR_BP6_USD;1;1980;BOP;;;
International Investment Position, Assets, Direct investment, US Dollars;IAD_BP6_USD;1;1980;BOP;;;
International Investment Position, Assets, Direct investment, Equity & investment fund shares, US Dollars;IADE_BP6_USD;1;1980;BOP;;;
International Investment Position, Assets, Direct investment, Debt instruments, US Dollars;IADD_BP6_USD;1;1980;BOP;;;
International Investment Position, Assets, Portfolio investment, US Dollars;IAP_BP6_USD;1;1980;BOP;;;
International Investment Position, Assets, Portfolio investment, Equity & investment fund shares, US Dollars;IAPE_BP6_USD;1;1980;BOP;;;
International Investment Position, Assets, Portfolio investment, Debt securities, US Dollars;IAPD_BP6_USD;1;1980;BOP;;;
International Investment Position, Assets, Fin. der.(oth.than reserves) & ESOs, US Dollars;IADF_BP6_USD;1;1980;BOP;;;
International Investment Position, Assets, Other investment, US Dollars;IAO_BP6_USD;1;1980;BOP;;;
International Investment Position, Assets, Other investment, Other equity, US Dollars;IAOE_BP6_USD;1;1980;BOP;;;
International Investment Position, Assets, Other investment, Debt instruments, US Dollars;IAOD_BP6_USD;1;1980;BOP;;;
International Investment Position, Assets, Reserve assets, US Dollars;IARFR_BP6_USD;1;1980;BOP;;;
International Investment Position, Liabilities, US Dollars;ILFR_BP6_USD;1;1980;BOP;;;
International Investment Position, Liabilities, Direct investment, US Dollars;ILD_BP6_USD;1;1980;BOP;;;
International Investment Position, Liabilities, Direct investment, Equity & investment fund shares, US Dollars;ILDE_BP6_USD;1;1980;BOP;;;
International Investment Position, Liabilities, Direct investment, Debt instruments, US Dollars;ILDD_BP6_USD;1;1980;BOP;;;
International Investment Position, Liabilities, Portfolio investment, US Dollars;ILP_BP6_USD;1;1980;BOP;;;
International Investment Position, Liabilities, Portfolio investment, Equity & investment fund shares, US Dollars;ILPE_BP6_USD;1;1980;BOP;;;
International Investment Position, Liabilities, Portfolio investment, Debt securities, US Dollars;ILPD_BP6_USD;1;1980;BOP;;;
International Investment Position, Liabilities, Fin. der.(oth.than reserves) & ESOs, US Dollars;ILF_BP6_USD;1;1980;BOP;;;
International Investment Position, Liabilities, Other investment, US Dollars;ILOFR_BP6_USD;1;1980;BOP;;;
International Investment Position, Liabilities, Other investment, Other equity, US Dollars;ILOE_BP6_USD;1;1980;BOP;;;
International Investment Position, Liabilities, Other investment, Debt instruments, US Dollars;ILODFR_BP6_USD;1;1980;BOP;;;
Monetary, Central Bank Survey, Net Foreign Assets, Claims on Nonresidents, US Dollars;FASAF_USD;1;1980;IFS;;;
Monetary, Central Bank Survey, Claims on Other Depository Corporations, US Dollars;FASAD_USD;1;1980;IFS;;;
Monetary, Central Bank Survey, Net Claims on Central Government, Liabilities To Central Government, US Dollars;FASLG_USD;1;1980;IFS;;;
Monetary, Central Bank Survey, Monetary Base, US Dollars;FASMB_USD;1;1980;IFS;;;
Monetary, Central Bank Survey, Net Foreign Assets, Claims on Nonresidents, Euros;FASAF_EUR;1;1980;IFS;;;
Monetary, Central Bank Survey, Claims on Other Depository Corporations, Euros;FASAD_EUR;1;1980;IFS;;;
Monetary, Central Bank Survey, Net Claims on Central Government, Liabilities To Central Government, Euros;FASLG_EUR;1;1980;IFS;;;
Monetary, Central Bank Survey, Monetary Base, Euros;FASMB_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Foreign Assets, US Dollars;FOSF_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Foreign Assets, Claims on Nonresidents, US Dollars;FOSAF_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Foreign Assets, Liabilities to Nonresidents, US Dollars;FOSLF_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Central Bank, US Dollars;FOSAA_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Claims on Central Government, US Dollars;FOSG_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Claims on Central Government, Claims on Central Government, US Dollars;FOSAG_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Claims on Central Government, Liabilities to Central Government, US Dollars;FOSLG_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Other Sectors, US Dollars;FOSAO_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Other Sectors, Claims on Other Financial Corps, US Dollars;FOSAOF_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Other Sectors, Claims on State & Local Govts, US Dollars;FOSAOG_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Other Sectors, Claims on Public Nonfin. Corps, US Dollars;FOSAON_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Other Sectors, Claims on Private Sector, US Dollars;FOSAOP_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Liabilities to Central Bank, US Dollars;FOSLA_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Transf.Dep.Included in Broad Money, US Dollars;FOST_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Other Dep.Included in Broad Money, US Dollars;FOSD_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Shares and Other Equity, US Dollars;FOSE_USD;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Foreign Assets, Euros;FOSF_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Foreign Assets, Claims on Nonresidents, Euros;FOSAF_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Foreign Assets, Liabilities to Nonresidents, Euros;FOSLF_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Central Bank, Euros;FOSAA_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Claims on Central Government, Euros;FOSG_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Claims on Central Government, Claims on Central Government, Euros;FOSAG_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Net Claims on Central Government, Liabilities to Central Government, Euros;FOSLG_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Other Sectors, Euros;FOSAO_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Other Sectors, Claims on Other Financial Corps, Euros;FOSAOF_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Other Sectors, Claims on State & Local Govts, Euros;FOSAOG_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Other Sectors, Claims on Public Nonfin. Corps, Euros;FOSAON_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Claims on Other Sectors, Claims on Private Sector, Euros;FOSAOP_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Liabilities to Central Bank, Euros;FOSLA_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Transf.Dep.Included in Broad Money, Euros;FOST_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Other Dep.Included in Broad Money, Euros;FOSD_EUR;1;1980;IFS;;;
Monetary, Other Depository Corporations Survey, Shares and Other Equity, Euros;FOSE_EUR;1;1980;IFS;;;
